,Округ,Район,Площадь,Площадь лог,Кол-во комнат,Этаж,Этажей в доме,Первый этаж,Последний этаж,Метро,Расстояние до метро (ед),Расстояние указано пешком,Расстояние указано на транспорте,Тип дома,Указан раздельный санузел,Несколько санузлов,Балкон указан,Окна,Окна во двор,Ремонт,Наличие ремонта,Возраст дома,Доля жилой площади,Доля куханной площади,Площадь кухни
53,ЗАО,р-н Фили-Давыдково,32.4,3.4781584227982836,1,3.0,9.0,False,False,Славянский бульвар,15,True,False,Панельный,False,False,False,,False,Евроремонт,True,47.0,0.5802469135802469,0.1851851851851852,6.0
54,ЗАО,р-н Раменки,32.0,3.4657359027997265,1,3.0,12.0,False,False,Раменки,1,False,True,Панельный,True,False,True,,False,Косметический,True,48.0,0.53125,0.265625,8.5
55,ЮАО,р-н Орехово-Борисово Южное,35.0,3.5553480614894135,1,2.0,16.0,False,False,Орехово,1,False,True,Панельный,False,False,True,,False,Косметический,True,45.0,0.5485714285714286,0.2571428571428571,9.0
56,ЮАО,р-н Нагатинский затон,31.2,3.4404180948154366,1,5.0,9.0,False,False,Коломенская,5,False,True,Блочный,True,False,True,,False,Дизайнерский,True,54.0,0.576923076923077,0.2884615384615385,9.0
57,ЮЗАО,р-н Черемушки,30.3,3.4111477125153233,СиА,3.0,8.0,False,False,Профсоюзная,5,False,True,Панельный,False,False,True,,False,Косметический,True,59.0,0.6270627062706271,0.16501650165016502,5.0
58,САО,р-н Савеловский,31.8,3.459466289786131,1,1.0,9.0,True,False,Дмитровская,1,False,True,Панельный,False,False,False,,False,Евроремонт,True,59.0,,0.22012578616352202,7.0
59,СВАО,р-н Отрадное,34.0,3.5263605246161616,1,5.0,22.0,False,False,Окружная,10,True,False,,False,False,False,,False,,True,,0.29411764705882354,0.4117647058823529,14.0
60,СВАО,р-н Отрадное,34.0,3.5263605246161616,1,14.0,22.0,False,False,Окружная,10,True,False,,False,False,False,,False,,True,,0.4117647058823529,0.35294117647058826,12.0
61,ЮВАО,р-н Южнопортовый,34.4,3.5380565643793527,2,2.0,9.0,False,False,Пролетарская,1,False,True,Кирпичный,False,False,True,,False,Косметический,True,53.0,,,
62,ЦАО,р-н Замоскворечье,24.0,3.1780538303479458,СиА,3.0,6.0,False,False,Павелецкая,2,True,False,,False,False,False,На улицу и двор,True,Без ремонта,False,,0.875,,
63,СВАО,р-н Марьина роща,26.9,3.292126286607793,СиА,2.0,9.0,False,False,Марьина роща,1,False,True,,False,False,True,,False,Без ремонта,False,,0.724907063197026,,
64,ЗАО,р-н Можайский,34.11,3.5295905964305545,1,22.0,27.0,False,False,Рабочий поселок,12,True,False,Монолитный,False,False,True,Во двор,True,Евроремонт,True,1.0,0.48079742011140425,0.25798885957197304,8.8
65,ЦАО,р-н Пресненский,30.2,3.407841924380824,СиА,5.0,5.0,False,True,Белорусская,10,True,False,Кирпичный,False,False,True,На улицу и двор,True,Без ремонта,False,60.0,,,
66,СВАО,р-н Ярославский,18.5,2.917770732084279,СиА,10.0,16.0,False,False,Ботанический сад,7,False,True,,False,False,False,,False,,True,,0.5621621621621622,0.10810810810810811,2.0
67,ЮВАО,р-н Марьино,12.0,2.4849066497880004,СиА,1.0,14.0,True,False,Люблино,6,False,True,Панельный,False,False,False,На улицу и двор,True,,True,,0.75,0.16666666666666666,2.0
68,СВАО,р-н Ярославский,19.0,2.9444389791664403,СиА,10.0,16.0,False,False,ВДНХ,7,False,True,,False,False,False,,False,,True,,0.5578947368421052,0.10526315789473684,2.0
69,НАО (Новомосковский),Сосенское поселение,22.7,3.122364924487357,СиА,3.0,5.0,False,False,Коммунарка,1,False,True,,True,False,False,,False,Без ремонта,False,,,,
70,НАО (Новомосковский),Филимонковское поселение,30.0,3.4011973816621555,СиА,9.0,12.0,False,False,Коммунарка,15,False,True,,False,False,True,,False,Без ремонта,False,,,,
71,ВАО,р-н Вешняки,14.4,2.667228206581955,СиА,1.0,9.0,True,False,Косино,10,True,False,Панельный,False,False,False,Во двор,True,Евроремонт,True,,0.625,0.1388888888888889,2.0
72,СВАО,р-н Ярославский,18.8,2.9338568698359038,СиА,12.0,16.0,False,False,Ботанический сад,7,False,True,,False,False,False,,False,,True,,0.5585106382978723,0.10638297872340426,2.0
73,СВАО,р-н Ярославский,18.7,2.928523523860541,СиА,12.0,16.0,False,False,ВДНХ,7,False,True,,False,False,False,,False,,True,,0.5668449197860963,0.10695187165775401,2.0
74,СЗАО,р-н Хорошево-Мневники,15.3,2.72785282839839,СиА,3.0,6.0,False,False,Полежаевская,2,True,False,,False,False,False,,False,Дизайнерский,True,,0.6535947712418301,0.19607843137254902,3.0
75,НАО (Новомосковский),Филимонковское поселение,27.7,3.3214324131932926,СиА,1.0,12.0,True,False,Филатов луг,25,False,True,Монолитный,False,False,True,На улицу,False,,True,,0.6859205776173285,0.1444043321299639,4.0
76,НАО (Новомосковский),Коммунарка поселок,27.0,3.295836866004329,СиА,11.0,24.0,False,False,Ольховая,1,False,True,,False,False,False,,False,Без ремонта,False,,0.42592592592592593,,
77,ЦАО,р-н Таганский,19.0,2.9444389791664403,СиА,1.0,7.0,True,False,Римская,20,True,False,,False,False,False,Во двор,True,Без ремонта,False,,0.6842105263157895,0.2631578947368421,5.0
78,НАО (Новомосковский),Сосенское поселение,22.0,3.091042453358316,СиА,8.0,15.0,False,False,Ольховая,20,True,False,Монолитный,False,False,False,Во двор,True,Евроремонт,True,2.0,0.6363636363636364,0.22727272727272727,5.0
79,ЦАО,р-н Басманный,16.0,2.772588722239781,СиА,3.0,4.0,False,False,,,False,False,,False,False,False,Во двор,True,Дизайнерский,True,,,,
80,НАО (Новомосковский),Десеновское поселение,34.0,3.5263605246161616,1,11.0,17.0,False,False,Ольховая,15,False,True,Панельный,True,False,True,,False,Косметический,True,6.0,,,
81,НАО (Новомосковский),Коммунарка поселок,31.9,3.462606009790799,1,7.0,24.0,False,False,Ольховая,1,False,True,Монолитный,False,False,False,,False,Без ремонта,False,2.0,,0.33855799373040757,10.8
82,СВАО,р-н Ярославский,33.0,3.4965075614664802,1,4.0,9.0,False,False,Бабушкинская,10,False,True,Панельный,False,False,False,,False,,True,51.0,0.5757575757575758,0.18181818181818182,6.0
83,НАО (Новомосковский),Коммунарка поселок,22.0,3.091042453358316,СиА,4.0,17.0,False,False,Бунинская аллея,1,False,True,,True,False,True,,False,Евроремонт,True,,,,
84,НАО (Новомосковский),Сосенское поселение,21.0,3.044522437723423,СиА,3.0,15.0,False,False,Коммунарка,8,True,False,Монолитный,False,False,False,,False,Дизайнерский,True,,0.7619047619047619,,
