,Цена за метр^2,Цена
178,204347.8260869565,4700000.0
179,252631.57894736843,4800000.0
180,153726.70807453414,4950000.0
181,156549.52076677317,4900000.0
182,263157.8947368421,5000000.0
183,169381.10749185667,5200000.0
184,169753.0864197531,5500000.0
185,181666.66666666666,5450000.0
186,215384.61538461538,5600000.0
187,186885.24590163934,5700000.0
188,175454.54545454544,5790000.0
189,169590.6432748538,5800000.0
190,214814.8148148148,5800000.0
191,177272.72727272726,5850000.0
192,192926.04501607717,6000000.0
193,177272.72727272726,5850000.0
194,191082.8025477707,6000000.0
195,174927.11370262393,6000000.0
196,179117.64705882352,6090000.0
197,179411.76470588235,6100000.0
198,184848.48484848486,6100000.0
199,184290.03021148036,6100000.0
200,180758.0174927114,6200000.0
201,234317.34317343173,6350000.0
202,193146.41744548286,6200000.0
203,196875.0,6300000.0
204,213114.75409836066,6500000.0
205,192424.24242424243,6350000.0
206,201238.39009287927,6500000.0
207,196969.69696969696,6500000.0
208,205047.3186119874,6500000.0
209,188571.42857142858,6600000.0
210,237500.0,6650000.0
211,191428.57142857142,6700000.0
212,221122.11221122113,6700000.0
213,231833.9100346021,6700000.0
214,206060.60606060605,6800000.0
215,212698.4126984127,6700000.0
216,266409.26640926645,6900000.0
217,213750.0,6840000.0
218,201440.9221902017,6990000.0
219,303913.04347826086,6990000.0
220,311659.1928251121,6950000.0
221,225483.87096774194,6990000.0
222,233333.33333333334,7000000.0
223,205202.3121387283,7100000.0
224,227129.3375394322,7200000.0
225,214705.88235294117,7300000.0
226,217261.90476190476,7300000.0
227,256944.44444444444,7400000.0
228,229687.5,7350000.0
229,212857.14285714287,7450000.0
230,215058.47953216374,7355000.0
231,303643.7246963563,7500000.0
232,221884.49848024317,7300000.0
233,274368.2310469314,7600000.0
234,227272.72727272726,7500000.0
235,231818.18181818182,7650000.0
236,221428.57142857142,7750000.0
237,230421.68674698792,7650000.0
238,243750.0,7800000.0
239,220000.0,7700000.0
240,231883.76811594202,7999990.0
241,261274.50980392157,7995000.0
242,283928.5714285714,7950000.0
243,316000.0,7900000.0
244,229226.36103151864,8000000.0
245,235714.2857142857,8250000.0
246,257575.75757575757,8500000.0
247,242424.24242424243,8000000.0
248,242857.14285714287,8500000.0
249,265625.0,8500000.0
250,278125.0,8900000.0
251,286173.63344051444,8900000.0
252,298076.92307692306,9300000.0
253,327272.7272727273,9000000.0
254,306250.0,9800000.0
