,Цена за метр^2,Площадь лог,Округ,Район,Первый этаж,Последний этаж,Расстояние до метро (ед),Расстояние указано пешком,Расстояние указано на транспорте,Указан раздельный санузел,Несколько санузлов,Балкон указан,Окна во двор,Наличие ремонта,Возраст дома,Доля жилой площади,Доля куханной площади
6730,160000.0,4.31748811353631,ЗАО,р-н Ново-Переделкино,False,False,1,False,True,True,False,True,False,True,32.0,0.6106666666666666,0.13599999999999998
6731,160000.0,4.31748811353631,ЮВАО,р-н Марьино,False,False,,False,False,True,False,True,True,True,23.0,0.64,0.13333333333333333
6732,167597.7653631285,4.2710950739666,ВАО,р-н Сокольники,False,True,15,True,False,False,False,False,False,False,,,
6733,180451.12781954888,4.197201947661808,ВАО,р-н Восточное Измайлово,False,False,,False,False,False,False,False,False,True,60.0,0.6977443609022557,0.1323308270676692
6734,162162.16216216216,4.30406509320417,ЮВАО,р-н Марьино,False,False,7,True,False,True,False,True,False,True,25.0,0.6216216216216216,0.13513513513513514
6735,160000.0,4.31748811353631,ВАО,р-н Новокосино,False,False,12,True,False,True,False,True,True,True,23.0,0.5973333333333333,0.14
6736,166666.66666666666,4.276666119016055,ЮАО,р-н Зябликово,False,False,7,True,False,False,False,True,False,True,28.0,0.5972222222222222,0.11805555555555555
6737,160000.0,4.31748811353631,ЮЗАО,р-н Южное Бутово,False,False,8,True,False,False,True,True,True,True,20.0,0.48,0.25333333333333335
6738,168758.71687587167,4.272490747605575,ЮВАО,р-н Некрасовка,False,False,5,True,False,True,False,True,True,True,5.0,0.603905160390516,0.14923291492329147
6739,167597.7653631285,4.2710950739666,ВАО,р-н Сокольники,False,True,20,True,False,False,False,False,True,False,6.0,,
6740,167597.7653631285,4.2710950739666,ВАО,р-н Сокольники,False,True,15,True,False,False,False,False,False,False,6.0,,
6741,181268.88217522658,4.192680462942962,ЗАО,р-н Очаково-Матвеевское,False,False,6,False,True,False,False,True,True,True,8.0,0.5921450151057402,0.17220543806646527
6742,171428.57142857142,4.248495242049359,ЮВАО,р-н Рязанский,False,False,7,True,False,True,False,True,True,True,31.0,0.6571428571428571,0.11428571428571428
6743,171428.57142857142,4.248495242049359,СЗАО,р-н Щукино,True,False,15,True,False,False,False,False,False,True,,0.7142857142857143,0.11428571428571428
6744,160642.5702811245,4.3134800921387715,ЮВАО,р-н Выхино-Жулебино,False,False,3,True,False,True,False,True,True,True,28.0,0.6091030789825971,0.14725568942436412
6745,175695.46120058565,4.223909766576744,ЮВАО,р-н Люблино,True,False,1,False,True,True,False,True,False,True,17.0,,0.16105417276720352
6746,176470.58823529413,4.219507705176107,СВАО,р-н Лосиноостровский,False,False,15,True,False,True,False,True,True,True,40.0,0.625,0.11911764705882352
6747,167358.2295988935,4.280824129164719,НАО (Новомосковский),Внуковское поселение,False,False,8,False,True,True,False,False,False,False,3.0,0.6196403872752421,0.13831258644536654
6748,167364.01673640168,4.272490747605575,ЗАО,р-н Можайский,False,False,14,False,True,False,False,False,True,True,68.0,0.6624825662482566,0.08368200836820083
6749,162162.16216216216,4.30406509320417,НАО (Новомосковский),Внуковское поселение,False,True,,False,False,False,False,True,True,True,8.0,0.5405405405405406,0.22972972972972974
6750,162162.16216216216,4.30406509320417,ЗАО,р-н Солнцево,False,False,15,True,False,True,False,True,True,True,33.0,0.5945945945945946,0.14864864864864866
6751,172910.66282420748,4.239886867512759,ЮАО,р-н Нагорный,False,False,10,True,False,False,False,False,False,True,13.0,0.3659942363112391,0.3890489913544668
6752,164383.56164383562,4.290459441148391,САО,р-н Коптево,False,True,5,False,True,False,False,True,True,True,60.0,0.7219178082191782,0.11643835616438356
6753,167364.01673640168,4.272490747605575,ЗАО,р-н Ново-Переделкино,False,False,10,True,False,True,False,True,True,False,,0.6834030683403068,0.16457461645746166
6754,170940.17094017094,4.251348311031766,НАО (Новомосковский),Московский поселение,False,False,10,True,False,True,True,True,True,True,,0.5484330484330484,0.14957264957264957
6755,179104.4776119403,4.204692619390966,НАО (Новомосковский),Сосенское поселение,False,False,15,True,False,False,False,False,True,True,6.0,0.47761194029850745,0.208955223880597
6756,162634.40860215054,4.309455941839047,СЗАО,р-н Митино,False,False,2,True,False,True,False,True,True,True,27.0,0.6182795698924731,0.13440860215053763
6757,171428.57142857142,4.248495242049359,ЮВАО,р-н Текстильщики,False,True,3,False,True,False,False,True,True,True,62.0,0.5857142857142857,0.11428571428571428
6758,165289.2561983471,4.28496492183075,САО,р-н Восточное Дегунино,False,False,3,False,True,True,False,True,True,False,20.0,0.6060606060606061,0.14462809917355374
6759,162162.16216216216,4.30406509320417,ЗАО,р-н Можайский,False,False,4,False,True,True,False,True,False,True,32.0,0.5945945945945946,0.13513513513513514
6760,177941.17647058822,4.219507705176107,НАО (Новомосковский),Сосенское поселение,False,False,15,True,False,False,False,False,True,True,,0.5147058823529411,0.19117647058823528
6761,173913.04347826086,4.23410650459726,НАО (Новомосковский),Коммунарка поселок,False,False,31,True,False,True,True,False,True,True,3.0,0.5507246376811594,0.15217391304347827
6762,163513.51351351352,4.30406509320417,ЗАО,р-н Можайский,False,False,,False,False,True,False,True,True,False,36.0,0.6216216216216216,0.13513513513513514
6763,180389.22155688624,4.2017030805426,ВАО,р-н Восточное Измайлово,True,False,9,True,False,False,False,True,True,True,44.0,0.6392215568862276,0.11377245508982035
6764,168741.35546334716,4.280824129164719,ЮВАО,р-н Нижегородский,False,False,14,True,False,True,False,True,True,True,60.0,0.7219917012448134,0.11618257261410789
6765,162216.28838451268,4.316153890523174,ЮВАО,р-н Некрасовка,False,False,1,False,True,False,False,True,False,True,5.0,0.5794392523364486,0.29906542056074764
6766,181343.28358208956,4.204692619390966,ЦАО,р-н Басманный,False,False,12,True,False,False,False,True,True,True,48.0,0.6567164179104478,0.16417910447761194
6767,179411.76470588235,4.219507705176107,НАО (Новомосковский),Внуковское поселение,False,False,3,False,True,True,False,True,True,False,2.0,0.5294117647058824,0.20588235294117646
6768,184012.06636500754,4.194189897191817,НАО (Новомосковский),Коммунарка поселок,False,False,12,True,False,True,False,True,True,True,5.0,0.5761689291101056,0.17496229260935142
6769,179411.76470588235,4.219507705176107,СВАО,р-н Ростокино,False,False,15,True,False,True,False,True,True,True,44.0,0.5897058823529412,0.1323529411764706
